0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
27,18,18,9,4,2,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,430.0,810.0,846.0,846.0,810.0,0,0,2,1,0,0,0,0
26,17,17,8,4,4,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,368.0,758.0,806.0,806.0,758.0,0,0,2,1,0,0,0,0
16,27,20,11,6,6,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,2,2,2,2,2,2,2,4,4,4,4,2,2,2,4,4,4,4,2,0,0,0,355.0,862.0,840.0,840.0,862.0,0,0,2,1,0,1,0,0
14,26,20,12,6,6,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,2,0,0,0,332.0,854.0,802.0,802.0,854.0,0,0,2,1,1,1,0,0
18,18,18,9,6,4,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,0,0,0,339.0,708.0,741.0,741.0,708.0,0,0,2,1,1,0,0,0
18,18,18,9,6,4,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,0,0,0,339.0,708.0,741.0,741.0,708.0,0,0,2,1,1,0,0,0
15,22,15,13,4,6,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,4,4,2,0,0,0,305.00000000000006,763.0,732.0,732.0,763.0,1,0,2,1,1,1,0,0
15,22,15,13,4,6,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,4,4,2,0,0,0,305.00000000000006,763.0,732.0,732.0,763.0,1,0,2,1,1,1,0,0
28,22,23,14,8,6,0,0,6,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,0,0,0,2,4,4,4,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,0,0,444.0,959.0,1042.0,1042.0,959.0,1,0,2,2,3,1,0,0
21,21,21,13,6,6,0,0,2,8,10,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,2,4,4,2,2,2,2,4,4,4,4,2,2,2,2,2,0,0,0,0,356.0,862.0,886.0,886.0,862.0,1,0,1,2,1,1,0,0
