0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
14,13,9,9,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,174.0,513.0,522.0,522.0,513.0,0,0,1,1,0,0,0,0
13,12,8,8,4,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,156.0,467.0,476.0,476.0,467.0,0,0,1,1,0,0,0,0
11,17,9,10,2,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,195.0,553.0,528.0,528.0,553.0,0,0,1,0,0,0,0,0
11,15,9,10,0,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,179.0,513.0,522.0,522.0,513.0,0,0,1,0,0,0,0,0
16,17,8,8,6,4,0,0,0,2,4,6,4,6,6,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,0,269.0,571.0,556.0,556.0,571.0,1,1,1,1,0,1,0,0
16,17,8,8,6,4,0,0,0,2,4,6,4,6,6,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,0,269.0,571.0,556.0,556.0,571.0,1,1,1,1,0,1,0,0
10,14,9,10,4,4,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,200.0,524.0,465.0,465.0,524.0,0,0,1,1,0,0,0,0
10,14,9,10,4,4,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,200.0,524.0,465.0,465.0,524.0,0,0,1,1,0,0,0,0
23,14,18,13,8,4,0,0,2,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,0,0,2,4,4,4,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,0,0,382.0,713.0,851.0,851.0,713.0,1,0,2,1,4,0,1,0
20,15,17,13,10,6,0,0,2,6,8,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,362.0,674.0,821.0,821.0,674.0,1,0,2,1,3,1,1,0
16,22,19,15,4,4,0,0,2,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,0,0,2,2,2,2,2,6,6,6,4,4,4,2,2,2,4,4,4,6,6,6,2,0,0,356.0,886.0,770.0,770.0,886.0,1,0,2,2,3,5,1,0
17,21,18,10,4,6,0,2,2,4,8,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,2,2,2,4,6,6,6,2,4,4,2,2,2,2,4,4,4,4,2,0,0,311.0,818.0,700.0,700.0,818.0,1,0,2,1,4,0,2,0
18,13,19,20,8,6,0,0,2,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,0,0,2,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,2,2,2,2,2,2,0,360.0,775.0,835.0,835.0,775.0,1,0,2,2,1,0,0,3
18,13,20,20,8,6,0,0,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,0,0,2,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,2,2,2,2,2,2,0,371.0,772.0,861.0,861.0,772.0,1,0,2,2,1,0,5,5
25,20,11,17,6,4,0,2,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,6,6,6,4,0,0,0,0,0,0,4,4,4,4,4,6,4,2,2,2,2,2,2,4,6,6,4,2,2,2,0,383.0,860.0,819.0,819.0,860.0,2,0,1,1,4,3,0,0
