0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
14,13,14,6,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,145.0,476.0,605.0,605.0,476.0,0,0,1,0,0,0,1,0
13,13,12,7,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,128.0,499.0,536.0,536.0,499.0,0,0,1,0,0,0,1,1
10,17,15,5,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,166.0,541.0,540.0,540.0,541.0,0,0,1,0,0,0,3,0
10,16,13,6,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,145.0,522.0,513.0,513.0,522.0,0,0,1,0,0,0,0,1
13,12,13,5,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,169.0,443.0,546.0,546.0,443.0,0,0,1,0,0,0,1,0
13,12,13,5,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,169.0,443.0,546.0,546.0,443.0,0,0,1,0,0,0,1,0
12,16,14,7,2,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,196.0,560.0,567.0,567.0,560.0,0,0,1,0,4,1,0,0
12,16,14,7,2,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,196.0,560.0,567.0,567.0,560.0,0,0,1,0,4,1,0,0
16,15,21,9,4,4,0,2,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,0,0,0,0,0,4,4,4,2,6,6,6,4,4,4,4,4,4,4,2,0,0,0,0,0,255.0,653.0,750.0,750.0,653.0,1,0,2,0,1,0,3,3
19,16,20,6,2,2,0,2,6,6,6,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,0,0,0,0,0,2,4,4,2,6,6,6,6,4,4,4,4,4,4,2,0,0,0,0,0,238.0,643.0,760.0,760.0,643.0,1,0,2,0,2,0,2,0
15,20,21,9,0,6,0,2,6,8,6,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,0,0,2,2,2,2,2,4,4,6,6,4,4,4,4,4,4,4,4,4,4,4,2,0,0,309.0,759.0,736.0,736.0,759.0,1,0,2,0,1,1,3,2
11,21,22,6,0,8,0,4,6,6,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,0,0,2,2,2,2,2,4,4,4,4,4,4,6,4,4,4,4,4,4,4,2,0,0,0,269.0,694.0,686.0,686.0,694.0,0,0,2,0,2,0,2,0
12,15,17,7,4,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,6,6,6,4,4,4,4,4,4,2,0,0,0,0,0,0,180.0,563.0,610.0,610.0,563.0,0,0,1,0,0,3,1,0
15,14,22,6,2,6,0,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,0,0,0,0,0,2,2,4,2,6,6,6,6,4,4,4,4,4,2,0,0,0,0,0,0,214.0,581.0,730.0,730.0,581.0,1,0,2,0,1,0,4,0
17,19,23,8,4,6,0,2,6,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,0,0,0,2,2,2,2,4,6,6,8,6,4,6,4,4,4,4,4,4,2,0,0,0,0,274.0,747.0,794.0,794.0,747.0,1,0,2,0,3,1,3,2
9,16,22,8,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,4,4,6,6,4,4,4,4,4,4,4,2,0,0,0,0,0,216.0,622.0,643.0,643.0,622.0,0,0,2,0,0,0,2,3
12,15,17,7,4,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,6,6,6,4,4,4,4,4,4,2,0,0,0,0,0,0,180.0,563.0,610.0,610.0,563.0,0,0,1,0,0,3,1,0
15,14,22,6,2,6,0,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,0,0,0,0,0,2,2,4,2,6,6,6,6,4,4,4,4,4,2,0,0,0,0,0,0,214.0,581.0,730.0,730.0,581.0,1,0,2,0,1,0,4,0
17,19,23,8,4,6,0,2,6,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,0,0,0,2,2,2,2,4,6,6,8,6,4,6,4,4,4,4,4,4,2,0,0,0,0,274.0,747.0,794.0,794.0,747.0,1,0,2,0,3,1,3,2
9,16,22,8,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,4,4,6,6,4,4,4,4,4,4,4,2,0,0,0,0,0,216.0,622.0,643.0,643.0,622.0,0,0,2,0,0,0,2,3
19,16,21,5,4,6,0,4,6,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,4,4,2,6,8,6,6,4,4,4,4,4,2,0,0,0,0,0,0,217.0,622.0,781.0,781.0,622.0,1,0,2,0,4,4,2,0
13,13,18,4,4,6,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,2,2,2,6,6,6,4,4,4,4,4,2,0,0,0,0,0,0,145.0,519.0,585.0,585.0,519.0,0,0,2,0,0,0,1,0
13,20,20,6,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,4,4,6,6,4,4,4,4,4,4,4,4,4,4,2,0,0,0,244.0,678.0,679.0,679.0,678.0,1,0,2,0,1,4,1,0
10,16,17,4,4,6,0,2,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,2,2,2,2,4,4,2,6,4,4,4,4,4,4,4,4,2,0,0,0,0,177.0,541.0,540.0,540.0,541.0,1,0,2,0,0,0,1,0
17,14,14,8,4,4,0,0,4,6,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,218.0,540.0,679.0,679.0,540.0,1,0,1,0,3,3,1,3
14,12,15,8,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,205.0,484.0,643.0,643.0,484.0,0,0,1,0,0,0,2,3
11,19,15,8,2,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,215.0,625.0,594.0,594.0,625.0,0,0,1,0,0,3,2,0
12,15,15,9,2,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,210.0,584.0,589.0,589.0,584.0,0,0,1,0,0,0,1,2
15,12,14,6,4,6,0,0,0,4,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,199.0,452.0,629.0,629.0,452.0,1,0,1,0,1,0,1,0
15,12,14,6,4,6,0,0,0,4,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,199.0,452.0,629.0,629.0,452.0,1,0,1,0,1,0,1,0
9,15,14,8,4,6,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,188.0,550.0,508.0,508.0,550.0,0,0,1,0,0,0,2,0
9,15,14,8,4,6,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,188.0,550.0,508.0,508.0,550.0,0,0,1,0,0,0,2,0
14,12,15,5,4,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,164.0,447.0,611.0,611.0,447.0,0,0,1,0,1,0,2,0
14,12,13,7,4,6,0,0,4,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,158.0,489.0,569.0,569.0,489.0,1,0,1,0,1,0,1,1
13,13,15,7,0,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,163.0,517.0,587.0,587.0,517.0,0,0,1,0,0,0,3,0
16,15,13,5,2,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,4,6,4,4,4,4,4,4,2,0,0,0,0,0,0,175.0,536.0,591.0,591.0,536.0,0,0,1,0,4,0,0,0
17,14,14,8,4,4,0,0,4,6,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,218.0,540.0,679.0,679.0,540.0,1,0,1,0,3,3,1,3
14,12,15,8,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,205.0,484.0,643.0,643.0,484.0,0,0,1,0,0,0,2,3
11,19,15,8,2,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,215.0,625.0,594.0,594.0,625.0,0,0,1,0,0,3,2,0
12,15,15,9,2,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,210.0,584.0,589.0,589.0,584.0,0,0,1,0,0,0,1,2
14,13,17,7,2,6,0,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,212.0,494.0,679.0,679.0,494.0,1,0,1,0,0,1,3,1
14,12,14,6,2,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,177.0,463.0,595.0,595.0,463.0,0,0,1,0,0,0,1,0
11,17,17,8,2,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,232.0,618.0,601.0,601.0,618.0,0,0,1,0,0,0,4,1
11,15,16,8,2,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,208.0,555.0,595.0,595.0,555.0,0,0,1,0,1,0,2,3
14,14,15,7,2,4,0,0,2,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,202.0,501.0,649.0,649.0,501.0,1,0,1,0,0,2,2,1
14,12,15,8,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,205.0,484.0,643.0,643.0,484.0,0,0,1,0,0,0,2,3
15,16,15,7,2,6,0,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,4,6,4,4,4,4,4,4,4,2,0,0,0,0,0,205.0,601.0,618.0,618.0,601.0,0,0,1,0,3,1,3,0
12,15,15,9,2,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,210.0,584.0,589.0,589.0,584.0,0,0,1,0,0,0,1,2
13,13,21,7,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,2,4,0,0,0,0,2,2,2,2,6,6,6,0,4,4,4,4,4,4,4,2,0,0,0,0,0,244.0,537.0,705.0,705.0,537.0,2,0,4,0,0,0,3,0
14,13,20,7,2,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,0,0,0,0,0,2,2,2,6,6,6,4,4,4,4,4,4,4,2,0,0,0,0,0,0,227.0,544.0,698.0,698.0,544.0,0,0,2,0,0,0,2,0
11,16,18,9,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,0,0,0,2,2,2,2,4,2,2,2,2,4,4,4,4,2,4,4,4,4,4,2,0,0,260.0,632.0,610.0,610.0,632.0,0,2,3,0,0,0,2,1
