0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,12,7,12,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,115.0,490.0,522.0,522.0,490.0,0,0,0,1,0,0,0,1
12,13,6,12,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,114.0,521.0,468.0,468.0,521.0,0,0,0,1,0,0,0,1
11,14,15,4,2,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,4,6,4,4,4,4,4,2,0,0,0,0,0,0,0,121.0,466.0,546.0,546.0,466.0,0,0,1,0,0,0,2,0
11,14,15,4,2,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,6,6,4,4,4,4,4,2,0,0,0,0,0,0,0,119.0,474.0,538.0,538.0,474.0,0,0,1,0,0,0,2,0
12,14,5,13,6,4,0,0,2,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,167.0,563.0,449.0,449.0,563.0,0,1,0,1,0,0,0,1
12,14,5,13,6,4,0,0,2,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,167.0,563.0,449.0,449.0,563.0,0,1,0,1,0,0,0,1
13,16,9,11,4,4,0,0,2,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,4,4,6,6,4,4,4,2,2,2,2,0,0,0,0,161.0,552.0,575.0,575.0,552.0,0,1,1,0,1,2,0,2
13,16,9,11,4,4,0,0,2,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,4,4,6,6,4,4,4,2,2,2,2,0,0,0,0,161.0,552.0,575.0,575.0,552.0,0,1,1,0,1,2,0,2
14,16,10,18,4,4,0,0,2,4,4,4,4,4,4,4,4,4,6,6,6,4,2,2,2,2,2,2,4,0,0,0,0,0,2,4,4,4,4,4,4,4,6,6,6,2,4,4,0,0,0,0,0,0,201.0,658.0,676.0,676.0,658.0,0,1,0,1,1,2,1,0
13,13,8,18,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,2,2,4,0,0,0,0,0,0,2,4,4,4,4,4,4,4,6,6,2,2,2,0,0,0,0,0,0,169.0,601.0,595.0,595.0,601.0,0,0,0,2,0,0,0,2
14,19,15,13,4,4,0,0,2,4,4,4,4,4,4,4,4,4,6,6,6,4,2,2,2,2,2,2,4,0,0,0,0,0,2,4,4,4,6,6,6,6,8,8,6,4,4,2,2,2,0,0,0,0,200.0,676.0,727.0,727.0,676.0,0,1,1,1,5,1,0,1
11,16,14,13,2,4,0,0,4,4,4,4,4,4,4,4,4,4,4,6,6,4,2,2,2,2,2,2,4,0,0,0,0,0,2,4,4,4,4,6,6,6,6,8,4,4,4,2,2,0,0,0,0,0,166.0,598.0,644.0,644.0,598.0,0,1,1,1,0,1,0,0
16,12,8,14,6,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,176.0,548.0,602.0,602.0,548.0,0,0,0,1,3,0,0,1
14,13,9,21,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,0,0,0,0,0,0,0,2,4,4,4,4,6,6,6,6,2,2,2,2,2,0,0,0,0,175.0,678.0,633.0,633.0,678.0,0,0,1,1,0,0,1,2
14,17,16,13,4,2,0,2,4,4,4,4,4,4,4,4,4,6,6,6,4,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,4,6,6,6,6,6,8,8,6,4,2,0,0,0,0,0,0,0,168.0,643.0,737.0,737.0,643.0,0,0,1,1,1,4,0,0
