0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,5,7,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,80.0,199.0,307.0,307.0,199.0,0,1,1,0,0,0,0,0
15,10,17,3,2,4,0,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,4,4,4,4,2,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,174.0,444.0,591.0,591.0,444.0,1,1,1,1,0,1,2,0
11,6,9,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,94.0,243.0,355.0,355.0,243.0,1,1,1,0,1,0,0,0
15,2,9,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,103.0,206.0,392.0,392.0,206.00000000000003,1,1,1,0,1,0,0,0
13,4,8,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,96.0,211.0,364.0,364.0,211.0,1,1,1,0,1,0,0,0
13,5,10,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,105.0,246.0,398.0,398.0,246.0,1,1,1,0,1,0,0,0
11,6,9,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,94.0,243.0,355.0,355.0,243.0,1,1,1,0,1,0,0,0
15,2,9,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,103.0,206.0,392.0,392.0,206.00000000000003,1,1,1,0,1,0,0,0
13,4,8,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,96.0,211.0,364.0,364.0,211.0,1,1,1,0,1,0,0,0
13,5,10,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,105.0,246.0,398.0,398.0,246.0,1,1,1,0,1,0,0,0
11,6,9,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,94.0,243.0,355.0,355.0,243.0,1,1,1,0,1,0,0,0
14,3,10,0,0,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,103.0,222.0,399.0,399.0,222.0,1,1,1,0,3,0,0,0
12,6,14,3,2,2,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,2,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,112.0,340.0,465.0,465.0,340.0,1,1,1,1,2,0,1,0
17,10,9,0,4,2,0,0,2,4,6,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,136.0,339.0,489.0,489.0,339.0,1,1,1,0,1,3,0,0
12,5,11,2,2,2,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,6,4,4,4,4,2,2,2,0,0,0,0,0,0,0,86.0,292.0,398.0,398.0,292.0,1,1,0,1,1,0,0,0
17,9,9,0,2,2,0,0,0,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,140.0,331.0,474.0,474.0,331.0,1,1,1,0,2,0,0,0
15,9,9,0,2,2,0,0,0,2,4,6,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,136.0,314.0,445.0,445.0,314.0,1,1,1,0,1,0,0,0
15,4,9,0,2,2,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,108.0,235.0,409.0,409.0,235.0,1,1,1,0,1,0,0,0
10,4,8,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,81.0,190.0,316.0,316.0,190.0,0,1,1,0,0,0,0,0
14,6,10,0,2,2,0,0,4,6,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,0,0,0,0,113.0,272.0,418.0,418.0,272.0,1,1,1,0,3,0,0,0
11,9,9,0,2,2,0,0,0,0,4,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,107.0,290.0,377.0,377.0,290.0,1,1,1,0,1,0,0,0
16,7,18,3,2,2,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,4,4,4,4,2,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,155.0,397.0,615.0,615.0,397.0,1,1,1,1,2,1,3,0
12,6,11,0,2,2,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,107.0,256.0,411.0,411.0,256.0,1,1,1,0,1,0,0,0
15,6,16,3,2,2,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,4,4,4,4,2,4,4,4,4,4,2,2,2,0,0,0,0,0,0,123.0,390.0,530.0,530.0,390.0,1,1,1,1,2,0,2,0
15,14,22,0,2,6,0,0,0,6,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,2,2,2,2,2,2,4,6,6,6,4,2,2,4,2,2,2,2,2,2,0,0,0,186.0,517.0,656.0,656.0,517.0,1,1,2,0,1,4,1,0
14,10,19,1,2,6,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,2,2,2,2,4,4,6,6,6,4,4,2,2,2,2,2,2,2,2,0,0,0,162.0,437.0,575.0,575.0,437.0,1,1,1,0,0,0,2,0
15,7,9,0,2,2,0,0,0,2,6,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,148.0,260.0,453.0,453.0,260.0,2,1,1,0,2,0,0,0
10,10,19,0,2,4,0,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,0,0,2,2,2,2,2,2,6,6,6,6,2,2,2,2,2,2,2,2,2,0,0,0,146.0,391.0,506.0,506.0,391.0,1,1,2,0,0,0,2,0
13,5,10,0,2,2,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,91.0,261.0,383.0,383.0,261.0,1,1,1,0,1,0,0,0
13,6,14,1,2,2,0,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,0,0,0,0,0,0,0,4,4,4,2,4,4,4,2,2,2,2,2,0,0,0,0,0,0,104.0,331.0,451.0,451.0,331.0,1,1,1,0,2,0,2,0
12,8,16,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,133.0,327.0,501.0,501.0,327.0,1,1,2,0,1,1,1,0
14,7,14,0,4,2,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,0,0,0,0,0,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,150.0,307.0,498.0,498.0,307.0,1,1,2,0,1,0,2,0
14,5,9,0,2,2,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,127.0,223.0,421.0,421.0,223.0,1,1,1,0,1,0,0,0
17,6,10,0,2,2,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,147.0,274.0,485.0,485.0,274.0,1,1,1,0,1,0,0,0
16,5,8,0,2,2,0,0,0,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,121.0,241.0,426.0,426.0,241.0,0,1,1,0,4,0,0,0
14,9,10,0,0,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,154.0,298.0,461.0,461.0,298.0,1,1,1,0,1,0,0,0
11,8,13,0,2,2,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,158.0,276.0,460.0,460.0,276.0,1,1,1,0,0,0,0,0
13,3,9,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,78.0,224.0,351.0,351.0,224.0,1,1,1,0,1,0,0,0
16,10,16,2,2,4,0,0,0,4,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,2,4,4,4,4,2,4,4,4,4,2,2,2,2,2,0,0,0,0,0,140.0,441.0,571.0,571.0,441.0,1,1,1,1,1,1,1,0
15,4,9,0,2,2,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,104.0,233.0,411.0,411.0,233.0,1,1,1,0,2,0,0,0
13,9,9,0,2,2,0,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,0,0,0,0,113.0,310.0,403.0,403.0,310.0,1,1,1,0,3,0,0,0
13,8,9,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,97.0,307.0,383.0,383.0,307.0,1,1,1,0,3,0,0,0
12,3,9,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,93.0,196.0,356.0,356.0,196.0,0,1,1,0,0,0,0,0
11,6,8,0,2,2,0,0,0,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,77.0,239.0,336.0,336.0,239.0,1,1,1,0,0,0,0,0
13,3,9,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,81.0,221.0,354.0,354.0,221.0,1,1,1,0,1,0,0,0
10,11,10,0,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,2,2,2,2,2,0,0,0,0,0,99.0,317.0,396.0,396.0,317.0,0,1,1,0,0,2,0,0
9,7,9,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,87.0,251.0,324.0,324.0,251.0,0,1,1,0,1,0,0,0
16,7,18,3,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,4,4,4,4,2,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,159.0,401.0,611.0,611.0,401.0,1,1,1,1,2,0,3,0
