0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
16,8,9,17,2,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,0,150.0,567.0,583.0,583.0,567.0,0,1,1,0,3,0,0,4
17,8,8,14,6,4,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,160.0,523.0,558.0,558.0,523.0,0,1,1,0,2,0,0,1
17,11,10,18,4,4,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,202.0,643.0,645.0,645.0,643.0,0,1,1,0,0,0,0,3
14,7,6,16,4,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,139.0,514.0,475.0,475.0,514.0,0,1,1,0,0,0,0,1
17,9,8,14,6,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,165.0,546.0,558.0,558.0,546.0,0,1,1,0,2,0,0,0
18,7,7,15,6,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,162.0,516.0,565.0,565.0,516.0,0,1,1,0,0,0,0,0
18,7,6,14,6,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,153.0,498.0,537.0,537.0,498.0,0,1,1,0,1,0,0,0
13,6,8,16,4,4,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,131.0,491.0,498.0,498.0,491.0,0,1,1,0,0,0,0,1
16,7,6,14,6,2,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,0,127.0,487.0,502.0,502.0,487.0,0,1,1,0,1,0,0,1
16,5,6,13,6,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,110.0,444.0,476.0,476.0,444.0,0,1,1,0,2,0,0,0
