0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,2,11,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,0,0,0,0,0,0,0,0,0,0,42.0,272.0,326.0,326.0,272.0,1,1,0,1,1,0,0,0
15,4,11,5,4,2,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,6,4,4,4,4,4,2,0,0,0,0,0,0,0,84.0,365.0,440.0,440.0,365.0,2,1,0,1,4,0,0,0
11,4,10,4,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,0,0,0,0,0,0,0,0,50.0,320.0,347.0,347.0,320.0,1,1,0,1,1,0,0,0
10,3,11,3,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,4,0,0,0,0,0,0,0,0,0,42.0,292.0,329.0,329.0,292.0,1,1,0,1,1,0,1,0
8,9,16,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,2,4,2,2,2,0,0,0,0,0,0,0,90.0,321.0,438.0,438.0,321.0,0,2,1,0,0,0,0,0
8,8,14,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,2,2,4,2,2,0,0,0,0,0,0,0,0,79.0,296.0,394.0,394.0,296.0,0,2,1,0,2,0,0,0
14,5,9,4,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,0,58.0,356.0,380.0,380.0,356.0,2,1,0,1,4,0,0,0
12,4,8,4,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0,37.0,322.0,322.0,322.0,322.0,2,1,0,1,4,0,0,0
10,9,15,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,6,6,6,4,2,2,2,2,2,2,0,0,0,0,0,0,0,94.0,327.0,455.0,455.0,327.0,1,1,1,0,2,0,0,0
7,9,13,0,2,2,0,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,6,4,4,2,4,2,2,0,0,0,0,0,0,0,0,73.0,290.0,377.0,377.0,290.0,1,2,1,0,0,0,0,0
