0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,10,13,13,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,178.0,529.0,529.0,529.0,529.0,1,1,0,0,0,0,0,0
14,13,13,18,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,0,0,0,303.0,697.0,637.0,637.0,697.0,1,1,0,1,0,0,0,3
10,10,15,8,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,164.0,450.0,539.0,539.0,450.0,1,1,0,0,0,0,0,0
9,10,15,14,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,263.0,533.0,571.0,571.0,533.0,1,1,0,0,0,0,1,0
8,9,15,12,4,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,240.0,482.0,530.0,530.0,482.0,1,1,0,0,0,0,1,0
12,12,16,15,2,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,2,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,308.0,616.0,649.0,649.0,616.0,1,1,0,1,0,0,0,1
10,9,16,11,2,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,243.0,476.0,582.0,582.0,476.0,1,1,0,0,0,0,1,0
9,10,15,14,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,263.0,533.0,571.0,571.0,533.0,1,1,0,0,0,0,1,0
8,9,15,12,4,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,240.0,482.0,530.0,530.0,482.0,1,1,0,0,0,0,1,0
12,12,16,15,2,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,2,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,308.0,616.0,649.0,649.0,616.0,1,1,0,1,0,0,0,1
10,9,16,11,2,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,243.0,476.0,582.0,582.0,476.0,1,1,0,0,0,0,1,0
10,11,14,17,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,0,0,0,263.0,605.0,591.0,591.0,605.0,1,1,0,1,0,0,0,0
10,9,14,14,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,265.0,519.0,562.0,562.0,519.0,1,1,0,0,0,0,0,0
14,13,13,17,6,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,0,0,0,0,303.0,675.0,636.0,636.0,675.0,1,1,0,1,0,0,0,2
8,8,13,14,4,2,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,229.0,485.0,504.0,504.0,485.0,1,1,0,0,0,0,0,0
10,11,18,13,0,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,0,0,0,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,282.0,544.0,652.0,652.0,544.0,1,1,0,1,0,0,0,2
9,9,15,9,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,209.0,423.0,543.0,543.0,423.0,1,1,0,0,0,0,0,0
9,9,12,12,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,143.0,467.0,499.0,499.0,467.0,1,1,0,0,0,0,0,0
14,13,15,19,8,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,0,353.0,716.0,687.0,687.0,716.0,1,1,0,1,0,0,1,1
12,14,14,18,8,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,0,0,289.0,669.0,665.0,665.0,669.0,1,0,0,1,0,0,0,0
10,10,15,15,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,269.0,540.0,610.0,610.0,540.0,1,1,0,1,0,0,0,1
10,10,14,13,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,250.0,535.0,546.0,546.0,535.0,1,1,0,0,0,0,0,0
9,9,15,15,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,265.0,535.0,569.0,569.0,535.0,1,1,0,0,0,0,1,0
11,10,19,10,4,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,298.0,465.0,685.0,685.0,465.0,1,1,0,0,0,0,0,0
