0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,10,9,8,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,103.0,400.0,451.0,451.0,400.0,1,1,0,0,0,0,0,0
18,14,9,8,2,4,0,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,4,2,2,0,0,0,208.0,550.0,577.0,577.0,550.0,2,2,1,0,1,0,0,1
14,12,13,0,4,2,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,132.0,364.0,533.0,533.0,364.0,0,0,1,0,0,0,1,0
11,10,18,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,197.0,316.0,581.0,581.0,316.0,1,1,0,0,0,0,1,0
13,16,12,7,6,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,0,0,0,196.0,540.0,564.0,564.0,540.0,1,2,1,0,0,1,2,0
12,11,9,7,4,2,0,0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,0,0,0,0,0,142.0,426.0,471.0,471.0,426.0,1,2,1,0,1,0,2,0
13,15,18,1,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,0,0,0,237.0,435.0,646.0,646.0,435.0,1,2,1,0,0,1,2,0
12,16,13,1,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,190.0,422.0,544.0,544.0,422.0,1,1,0,0,0,2,2,0
13,11,9,8,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,149.0,444.0,499.0,499.0,444.0,1,1,1,0,0,0,0,0
11,10,8,5,4,4,0,0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,117.0,371.0,411.0,411.0,371.0,2,1,1,0,0,0,1,0
