0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
23,17,15,15,6,6,0,0,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,312.0,740.0,870.0,870.0,740.0,2,1,1,1,3,0,1,0
18,20,17,18,8,8,0,4,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,6,4,2,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,0,0,0,330.0,828.0,851.0,851.0,828.0,1,1,0,1,2,0,1,3
13,23,15,16,8,8,0,2,6,6,6,6,6,6,6,6,6,6,8,8,8,8,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,4,4,2,2,2,2,4,2,2,2,2,2,2,2,0,0,0,258.0,784.0,757.0,757.0,784.0,1,2,1,1,1,1,2,3
24,13,29,10,6,6,0,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,4,4,4,4,4,4,4,0,0,0,0,2,4,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,0,0,0,338.0,732.0,1016.0,1016.0,732.0,1,1,2,0,1,0,1,3
22,12,25,5,6,6,0,2,4,6,6,6,6,6,6,6,6,6,8,8,8,6,4,4,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,0,0,0,284.0,601.0,871.0,871.0,601.0,1,2,2,0,3,0,1,0
18,20,16,16,8,6,0,2,4,6,6,6,6,6,8,8,8,8,8,8,8,8,8,4,4,4,4,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,353.0,793.0,817.0,817.0,793.0,1,1,1,1,1,0,2,2
16,20,14,14,4,6,0,0,2,6,6,6,6,6,8,8,8,8,8,8,8,6,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,287.0,748.0,724.0,724.0,748.0,1,1,1,1,2,0,2,0
21,18,17,16,4,6,0,0,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,4,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,351.0,744.0,912.0,912.0,744.0,2,1,1,0,2,1,3,2
16,19,16,14,8,6,0,2,2,4,6,6,6,6,6,8,8,8,8,8,8,6,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,0,305.0,671.0,824.0,824.0,671.0,1,1,1,1,2,0,3,3
17,24,19,18,6,4,0,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,6,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,2,4,6,4,4,4,2,2,4,4,2,0,0,0,305.0,934.0,860.0,860.0,934.0,1,2,1,1,0,0,1,0
15,26,17,16,8,6,0,2,6,6,6,6,6,6,6,6,6,6,8,8,8,8,6,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,0,311.0,884.0,818.0,818.0,884.0,1,2,1,1,0,2,3,2
20,18,18,16,8,8,0,0,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,6,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,354.0,790.0,866.0,866.0,790.0,2,1,0,0,2,0,1,0
26,13,21,14,4,8,0,4,6,6,6,6,6,6,6,6,6,6,6,8,8,6,6,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,301.0,741.0,961.0,961.0,741.0,0,2,2,0,2,0,1,2
13,22,17,16,6,8,0,0,2,6,6,6,6,6,6,8,8,8,8,8,8,8,6,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,0,290.0,813.0,751.0,751.0,813.0,1,2,1,1,0,1,4,4
19,15,13,15,6,8,0,0,2,6,6,6,6,8,8,8,8,8,8,8,8,8,6,4,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,293.0,711.0,715.0,715.0,711.0,2,1,0,1,0,0,0,3
19,13,12,13,6,6,0,0,4,4,4,6,6,6,6,6,8,8,8,8,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,269.0,648.0,663.0,663.0,648.0,2,1,1,1,4,0,2,4
26,11,27,7,8,4,0,2,4,6,6,6,6,6,6,8,8,8,8,8,8,8,4,4,4,4,4,0,0,0,0,0,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,0,0,0,347.0,638.0,995.0,995.0,638.0,2,1,2,0,4,0,3,0
20,11,18,9,4,6,0,0,0,6,6,6,6,6,6,6,6,6,10,8,4,4,4,4,4,4,2,0,0,0,0,0,0,4,2,2,2,2,2,2,4,6,4,2,2,2,2,2,2,2,2,0,0,0,258.0,552.0,782.0,782.0,552.0,1,1,2,0,3,0,2,0
15,20,16,15,8,8,0,0,4,6,6,6,6,6,8,8,8,8,8,8,8,8,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,0,0,0,281.0,765.0,753.0,753.0,765.0,1,1,1,1,0,0,3,0
14,23,15,16,6,6,0,2,6,6,6,6,6,6,6,8,8,8,8,8,8,6,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,0,0,0,294.0,833.0,731.0,731.0,833.0,1,2,1,1,2,1,2,2
