0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,13,12,11,4,2,0,2,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,4,4,4,4,2,4,4,4,4,2,0,0,0,0,0,0,0,118.0,539.0,588.0,588.0,539.0,1,1,1,1,2,1,2,1
8,13,11,9,2,2,0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,2,2,0,0,0,2,2,2,2,2,4,4,4,4,4,2,4,4,4,2,2,2,2,2,0,0,0,145.0,461.0,482.0,482.0,461.0,1,1,1,1,0,0,0,0
9,11,12,7,2,4,0,0,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,4,4,2,4,4,4,4,2,2,2,2,0,0,0,0,118.0,449.0,448.0,448.0,449.0,1,1,1,1,1,1,1,0
11,10,14,8,2,2,0,2,2,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,4,4,4,2,4,4,4,4,4,2,2,0,0,0,0,0,127.0,486.0,503.0,503.0,486.0,1,1,1,1,1,1,2,0
5,15,9,9,2,2,0,0,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,2,4,4,4,4,2,2,0,0,0,0,0,89.0,459.0,415.0,415.0,459.0,1,1,1,1,0,2,1,0
5,13,12,8,2,2,0,2,2,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,4,2,4,4,2,2,2,2,2,2,0,0,0,119.0,433.0,441.0,441.0,433.0,1,1,1,1,0,0,0,0
3,13,8,8,2,2,0,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,0,0,0,72.0,392.0,344.0,344.0,392.0,1,1,1,1,0,0,1,0
11,11,16,13,4,4,0,0,2,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4,4,2,2,2,2,0,0,193.0,578.0,595.0,595.0,578.0,1,1,1,1,2,1,5,0
12,13,13,13,4,4,0,0,2,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,2,4,4,4,0,0,0,0,0,0,158.0,583.0,590.0,590.0,583.0,1,1,1,1,1,1,1,4
6,14,13,9,2,8,0,0,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,2,0,0,0,0,2,2,2,2,2,2,2,4,4,4,2,4,4,4,4,2,2,2,2,0,0,0,152.0,486.0,480.0,480.0,486.0,1,1,1,1,0,1,0,0
11,14,13,10,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,0,0,0,0,0,154.0,562.0,542.0,542.0,562.0,1,1,1,1,1,0,1,1
