0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,10,12,2,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,65.0,367.0,415.0,415.0,367.0,1,1,1,0,0,0,2,0
14,12,13,2,2,2,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,120.0,437.0,506.0,506.0,437.0,1,1,1,0,0,0,1,0
14,10,9,0,4,2,0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,87.0,366.0,393.0,393.0,366.0,1,1,1,0,3,0,0,0
12,9,14,3,2,2,0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,2,2,4,4,4,2,4,4,4,2,2,0,0,0,0,0,0,0,89.0,414.0,460.0,460.0,414.0,1,1,1,1,1,0,2,0
14,1,12,0,4,2,0,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,129.0,190.0,431.0,431.0,190.0,1,0,1,0,2,0,0,0
14,15,15,0,2,2,0,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,197.0,429.0,583.0,583.0,429.0,1,1,2,0,3,8,2,0
14,15,17,2,4,4,0,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,4,4,4,4,2,2,4,4,2,0,0,0,0,0,0,0,0,135.0,507.0,597.0,597.0,507.0,1,1,1,0,0,1,3,0
11,15,13,1,4,2,0,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,121.0,450.0,470.0,470.0,450.0,1,1,1,0,0,0,0,0
14,19,18,1,4,8,0,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,4,4,4,2,2,2,2,2,2,4,4,2,2,2,2,2,0,209.0,604.0,592.0,592.0,604.0,1,2,1,0,0,1,3,0
11,16,14,0,2,4,0,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,150.0,483.0,460.0,460.0,483.0,1,1,1,0,0,1,0,0
9,10,14,3,4,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,123.0,378.0,450.0,450.0,378.0,1,1,1,0,0,0,3,0
15,12,16,0,2,4,0,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,4,4,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,250.0,384.0,605.0,605.0,384.0,1,1,2,0,0,0,2,0
8,10,13,1,4,4,0,0,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,118.0,322.0,414.0,414.0,322.0,1,1,1,0,0,0,2,0
11,13,14,3,4,2,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,112.00000000000001,452.0,491.0,491.0,452.0,1,1,1,0,0,1,1,0
10,11,15,3,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,159.0,416.0,481.0,481.0,416.0,1,1,1,0,0,0,1,0
10,14,14,2,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,163.0,472.0,448.0,448.0,472.0,1,1,1,0,0,5,4,0
14,10,14,3,4,2,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,121.0,417.0,526.0,526.0,417.0,1,1,1,0,1,0,1,0
