0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
6,14,14,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,2,0,0,0,0,0,0,0,0,72.0,413.0,438.0,438.0,413.0,1,0,0,1,0,1,0,0
9,18,19,11,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,0,0,2,4,4,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,2,2,2,0,225.0,668.0,643.0,643.0,668.0,1,1,1,1,0,2,0,0
4,23,26,7,2,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,0,0,2,2,2,4,4,4,6,6,6,6,6,6,6,6,6,6,4,4,2,0,0,0,240.0,687.0,693.0,693.0,687.0,1,0,1,1,0,4,14,0
11,12,15,13,6,2,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,4,2,2,4,0,0,0,0,195.0,583.0,590.0,590.0,583.0,1,0,0,2,0,0,0,0
11,14,18,9,6,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0,4,4,6,6,6,6,6,6,6,6,4,2,2,2,0,0,0,0,0,162.0,569.0,627.0,627.0,569.0,1,0,1,1,1,3,4,0
9,24,24,10,4,4,0,0,2,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,269.0,782.0,759.0,759.0,782.0,1,0,1,1,1,9,11,0
7,14,14,6,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,115.0,466.0,477.0,477.0,466.0,1,0,0,1,0,0,0,0
7,15,14,6,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,109.0,482.0,484.0,484.0,482.0,1,0,0,1,0,0,0,0
7,17,18,5,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,2,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,152.0,517.0,564.0,564.0,517.0,1,0,1,1,0,2,2,0
7,17,20,5,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,147.0,536.0,591.0,591.0,536.0,1,0,1,1,1,2,5,0
9,11,14,5,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,4,4,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,0,95.0,421.0,476.0,476.0,421.0,1,0,1,1,2,0,2,0
5,17,18,5,0,4,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,4,4,2,2,0,0,0,177.0,508.0,527.0,527.0,508.0,1,1,1,1,0,0,1,0
8,12,12,5,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,4,4,4,6,6,6,6,4,4,4,4,2,0,0,0,0,0,0,98.0,408.0,443.0,443.0,408.0,1,1,1,1,0,0,0,0
8,19,20,10,0,8,0,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,2,2,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,2,2,0,0,208.0,651.0,660.0,660.0,651.0,1,1,1,1,0,1,1,0
4,17,14,6,2,6,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,0,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,4,4,2,2,2,0,0,0,0,108.0,495.0,448.0,448.0,495.0,1,1,1,1,0,1,3,0
4,14,13,5,0,6,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,4,4,2,2,2,0,0,0,0,108.0,429.0,399.0,399.0,429.0,1,1,1,1,0,0,2,0
5,14,13,5,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,4,2,0,0,0,0,0,0,0,72.0,431.0,420.0,420.0,431.0,1,0,0,1,0,2,0,0
5,9,9,4,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,6,6,6,4,2,0,0,0,0,0,0,0,0,46.0,307.0,314.0,314.0,307.0,1,0,0,1,0,0,0,0
3,22,16,3,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,2,2,4,4,4,6,6,6,6,6,4,4,2,2,2,2,0,0,0,133.0,540.0,472.0,472.0,540.0,1,1,1,1,1,8,1,0
4,14,19,1,2,4,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,0,0,0,0,0,2,2,2,2,2,4,6,6,6,6,4,4,2,2,2,0,0,0,0,0,0,113.0,394.0,480.0,480.0,394.0,1,1,1,0,1,2,4,0
8,14,15,6,2,4,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,2,2,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,6,6,4,4,4,4,4,2,0,0,0,0,0,124.0,485.0,504.0,504.0,485.0,1,1,1,1,0,0,3,0
