0,1,2,3
7,18,16,18
5,10,12,13
11,10,16,17
11,9,17,15
2,22,19,18
1,17,15,17
9,8,21,22
7,16,16,17
13,9,21,14
4,15,19,24
9,11,22,20
0,24,13,21
13,9,21,14
11,9,17,15
13,9,21,14
2,16,18,21
2,16,18,21
9,8,21,22
11,9,18,17
1,19,22,24
2,22,26,25
2,20,21,23
1,24,17,15
6,16,21,16
8,16,21,15
11,10,17,14
0,21,15,20
2,22,18,16
5,22,21,15
10,9,15,17
10,9,18,18
6,16,19,18
6,15,16,16
14,14,21,19
12,10,16,16
11,8,23,22
10,8,17,15
7,17,16,17
8,12,16,15
7,18,16,18
10,9,18,18
10,9,18,18
3,22,19,17
3,22,19,17
14,8,14,14
10,9,15,17
11,9,18,14
2,22,19,18
13,6,24,24
1,18,13,18
10,12,15,14
14,8,18,14
10,10,15,14
5,14,18,18
5,17,15,14
15,8,14,15
5,14,18,18
4,15,14,15
5,14,18,18
4,15,14,15
14,8,18,14
0,22,20,26
11,12,16,13
11,8,16,15
1,18,16,17
1,20,16,16
1,24,14,16
10,9,15,16
10,8,14,14
2,22,19,18
1,17,13,17
14,7,18,14
11,8,16,14
2,16,15,17
6,11,14,15
0,19,20,27
8,12,28,28
0,23,13,19
3,18,16,16
13,12,18,18
13,10,17,16
3,18,14,18
2,18,18,17
11,9,16,16
13,11,16,16
3,23,15,18
8,18,16,17
1,19,13,18
12,10,16,16
14,10,17,16
10,10,20,22
10,9,17,19
7,20,19,17
4,14,18,16
12,8,23,25
12,7,22,22
1,20,21,27
1,18,21,25
10,9,15,14
10,8,17,15
