0,1,2,3
20,20,17,14
25,19,19,15
20,22,18,16
28,20,20,19
17,19,20,12
32,17,21,20
31,15,22,19
18,28,24,18
19,30,26,20
25,19,20,18
27,19,21,21
23,15,17,16
20,15,20,17
18,19,19,18
20,23,22,19
11,19,16,10
20,18,15,18
27,19,21,18
16,23,22,15
18,28,22,17
20,18,15,18
19,19,19,13
25,14,20,16
16,23,22,15
17,21,18,12
14,25,21,14
25,14,17,13
24,19,19,16
8,22,15,9
20,22,18,16
23,19,19,17
18,29,24,17
22,25,22,16
17,25,20,15
25,20,20,18
24,20,18,18
17,23,20,13
19,21,17,15
18,27,22,15
16,26,23,14
25,20,20,17
24,20,19,18
25,19,18,16
28,22,22,17
22,16,16,14
18,27,22,16
16,26,23,15
26,19,17,16
19,18,15,15
24,18,17,17
13,29,20,17
13,26,21,16
20,19,17,13
25,19,18,15
27,22,21,20
28,20,22,19
24,18,17,15
19,25,20,14
24,19,17,15
19,25,20,14
18,28,22,13
25,19,18,16
24,19,17,15
20,22,18,16
19,23,18,17
19,23,18,17
20,22,18,16
27,19,19,18
21,17,18,17
24,17,19,16
18,26,19,15
17,24,19,15
19,15,15,17
19,23,18,17
22,18,18,16
23,18,17,14
19,27,23,16
18,22,19,15
18,23,18,14
25,17,20,15
17,14,13,12
23,23,22,18
17,16,13,12
6,23,15,11
16,19,18,12
12,21,14,12
25,19,18,16
21,38,25,17
20,22,18,16
24,19,17,15
19,23,18,17
20,22,18,16
28,20,20,19
26,22,20,18
20,22,17,13
24,21,20,16
17,17,19,14
20,25,21,14
23,30,23,17
20,28,21,18
