0,1,2,3
16,8,15,8
14,9,13,10
17,10,15,12
16,11,16,11
18,11,18,7
13,13,19,7
16,13,17,13
15,10,13,9
15,15,17,11
13,14,17,8
17,7,18,8
18,10,15,11
15,7,15,8
17,9,17,9
15,11,19,7
14,7,14,9
17,9,18,5
17,5,16,10
16,7,16,9
17,11,17,11
11,12,18,6
16,9,16,9
13,13,20,8
16,8,14,11
13,9,13,7
13,11,15,9
13,10,17,5
12,10,17,4
13,8,15,4
18,11,18,11
17,8,16,9
15,9,22,9
14,9,16,6
15,11,16,4
13,6,13,7
14,10,14,8
13,9,15,5
18,12,17,11
12,9,15,8
16,10,17,9
15,11,15,10
15,12,19,5
15,12,16,8
15,11,15,10
12,10,17,3
15,11,15,10
15,11,18,5
15,11,18,5
16,13,19,6
16,8,15,10
17,11,17,6
14,14,19,3
14,13,20,2
15,7,14,8
16,8,16,7
17,15,17,15
18,9,19,4
14,11,19,3
14,10,16,9
14,11,15,9
18,9,20,5
13,8,12,7
15,14,16,6
14,11,15,9
14,11,15,9
15,12,18,5
17,15,15,7
15,12,18,5
14,10,16,9
15,11,16,9
17,11,19,6
15,9,14,11
15,13,19,4
14,8,15,9
14,7,12,7
17,10,16,8
13,14,19,6
15,14,17,13
15,11,20,8
16,10,14,9
15,10,15,9
17,11,16,6
13,9,17,7
15,12,13,8
18,10,15,11
16,7,14,10
18,11,17,11
12,10,15,5
13,15,18,8
16,10,15,10
15,10,15,9
15,10,15,9
14,12,19,4
14,12,19,4
16,10,14,9
14,8,14,9
16,7,16,8
18,10,19,5
14,9,19,3
15,10,15,11
