0,1,2,3
16,13,15,13
19,16,19,13
14,17,20,14
22,17,22,18
21,16,21,15
17,14,17,16
19,20,23,15
15,16,19,11
19,15,19,14
23,16,23,17
17,14,17,13
18,13,18,13
16,15,15,15
18,13,18,14
13,17,20,14
15,18,20,12
23,17,22,18
20,15,20,16
18,14,18,14
16,17,21,16
14,17,18,15
22,18,23,15
15,19,21,13
20,17,21,15
21,16,21,15
19,19,19,13
17,18,24,16
18,19,21,18
15,16,19,15
19,15,19,13
18,13,18,13
13,17,20,16
15,18,21,14
22,18,22,15
21,16,21,17
21,19,22,16
10,16,18,13
18,20,24,15
14,17,24,16
19,15,19,15
18,14,18,11
13,17,20,17
13,16,18,14
21,14,20,14
18,16,18,14
21,15,20,14
14,19,21,16
15,19,20,17
18,17,18,15
19,19,20,18
17,19,24,15
19,15,19,16
16,15,17,15
14,18,21,12
15,19,23,14
15,20,23,12
19,15,19,16
16,15,17,15
22,19,22,16
14,18,21,12
15,19,23,14
18,15,18,14
19,15,19,16
16,15,17,15
14,18,21,13
15,19,23,14
6,19,17,11
19,14,19,14
19,15,18,16
13,19,20,15
16,19,21,12
22,16,22,16
19,15,18,15
21,19,21,17
18,17,17,15
15,19,21,13
14,18,21,17
19,19,22,16
17,19,22,16
19,16,19,15
17,15,17,16
15,17,19,15
15,15,18,16
23,18,23,15
22,16,22,16
23,15,22,16
16,20,25,15
16,20,22,16
16,17,21,14
17,19,22,15
18,15,17,15
18,15,18,15
17,14,17,13
13,18,19,14
12,18,17,15
17,13,17,12
16,11,16,13
17,19,19,17
18,16,19,15
20,17,21,15
