0,1,2,3
18,4,14,2
25,20,20,14
19,25,22,12
18,26,22,13
19,20,23,9
22,14,16,7
14,12,17,1
20,8,15,6
21,11,18,5
19,9,14,5
16,13,17,2
19,8,15,6
20,8,15,4
24,21,20,17
16,13,18,3
15,12,19,2
24,15,19,11
21,16,19,6
20,16,15,11
17,23,25,12
13,21,22,9
23,11,17,6
28,16,22,8
20,16,21,4
22,11,16,6
19,14,19,3
19,15,21,3
26,19,20,16
26,19,20,14
24,17,17,12
19,10,13,6
16,22,21,11
23,10,17,5
22,12,16,6
26,14,21,7
17,13,20,3
18,15,20,2
21,17,21,3
25,12,18,7
25,12,18,7
18,22,22,13
16,15,23,3
19,11,16,5
18,13,24,1
25,15,20,12
19,28,22,6
25,16,20,11
11,27,24,7
12,25,22,8
23,11,17,6
22,11,16,6
19,14,19,3
19,17,22,4
19,8,15,5
19,12,17,5
22,13,17,6
16,18,23,7
19,6,14,7
17,12,20,5
15,12,17,4
25,11,18,7
22,14,16,7
21,16,19,6
23,16,19,6
6,20,20,3
16,11,14,8
16,8,13,7
13,27,23,4
23,9,16,5
16,12,18,1
15,14,16,3
19,16,22,4
24,16,19,12
23,16,19,12
16,22,21,12
14,21,22,10
21,17,15,12
19,14,14,12
21,17,21,7
21,16,19,6
21,16,17,8
20,8,15,5
21,15,18,9
23,5,17,5
21,7,16,6
18,9,20,2
19,9,19,3
11,14,11,17
15,19,13,18
9,19,16,11
6,33,24,14
19,11,17,4
25,11,18,6
18,9,14,5
22,13,16,7
21,16,19,6
23,15,19,5
23,18,17,16
22,18,17,14
20,20,20,12
