0,1,2,3
18,4,11,0
21,10,10,1
23,10,10,0
22,10,10,0
19,14,10,0
18,13,10,0
23,10,10,0
22,11,10,0
19,15,10,0
21,15,12,0
19,7,10,0
13,11,15,3
23,20,19,5
16,6,14,5
19,6,10,0
17,12,14,0
14,12,10,0
23,10,10,0
23,22,23,5
20,11,9,0
19,15,11,0
20,14,11,0
19,9,10,0
17,10,9,0
19,12,11,1
23,11,13,0
26,23,21,6
14,14,10,0
15,11,10,0
24,17,18,4
23,17,18,3
19,22,18,3
14,8,15,2
16,20,18,3
17,12,14,4
22,10,10,0
17,13,10,0
15,8,19,4
19,12,12,0
23,21,21,3
11,12,12,6
15,20,13,7
10,17,13,4
22,18,16,3
23,10,10,0
22,11,10,0
19,15,10,0
21,15,11,0
23,10,10,0
19,14,11,0
20,11,9,0
17,13,22,6
22,22,22,5
18,14,25,7
19,25,19,3
23,19,19,3
23,17,19,5
20,15,19,3
18,19,18,3
19,21,23,3
15,11,15,7
20,11,9,0
23,19,19,5
13,17,21,8
17,24,24,3
17,23,19,3
24,17,18,3
15,11,15,7
21,16,18,3
13,17,21,8
18,18,18,2
20,15,16,3
22,21,19,7
19,12,11,1
21,19,18,7
17,22,22,4
23,15,19,2
18,19,20,4
23,18,18,3
19,15,10,0
24,18,18,3
16,18,18,0
19,21,19,2
20,23,19,4
23,18,18,3
14,7,16,4
24,18,18,3
22,18,16,3
19,21,19,2
20,23,19,4
22,18,17,0
19,15,17,0
19,8,10,0
15,25,16,0
14,19,19,0
15,20,19,2
23,10,10,0
19,12,11,1
24,19,20,4
22,12,10,0
