0,1,2,3
16,8,15,13
15,10,19,9
15,10,19,9
16,10,14,13
15,7,16,14
18,10,19,11
14,10,19,18
14,10,19,11
13,9,13,13
14,7,14,13
18,21,17,17
18,11,18,19
16,10,14,11
13,8,14,11
18,6,17,19
15,13,14,24
16,10,14,11
15,8,17,10
16,10,14,11
19,20,17,17
15,8,17,10
13,9,13,13
15,11,14,14
14,7,15,13
17,9,17,9
9,15,27,4
13,8,18,10
18,10,16,14
15,7,16,14
16,8,16,18
17,10,18,10
14,10,19,11
17,14,16,24
18,21,18,16
14,7,12,14
14,7,12,14
14,11,18,10
14,11,18,10
18,4,18,16
13,5,16,15
12,11,16,14
19,10,18,25
13,10,19,14
20,11,14,22
16,10,14,21
12,13,20,20
16,21,19,17
15,10,15,20
14,11,19,18
14,10,18,16
19,11,18,25
16,11,17,21
18,12,18,19
13,13,19,19
18,11,18,22
21,13,20,19
14,16,18,12
14,17,19,20
17,8,17,19
18,20,17,19
17,17,17,15
13,24,19,15
17,19,18,16
18,12,15,20
14,10,14,21
13,9,13,22
14,11,19,18
18,12,18,17
17,10,17,15
12,19,19,16
19,11,18,25
16,10,16,21
19,14,19,18
14,13,19,20
18,11,18,25
17,10,17,21
12,11,13,18
13,15,19,20
15,14,18,16
16,12,18,19
18,8,14,21
16,6,15,18
12,8,12,20
15,9,18,16
17,13,18,13
17,7,17,26
19,6,18,27
15,12,19,23
20,12,19,20
17,16,20,15
19,10,17,23
15,16,16,16
14,15,14,15
13,6,15,18
15,21,19,11
14,15,19,12
15,16,16,16
14,15,14,15
15,21,19,11
14,15,19,12
