0,1,2,3
15,14,11,11
24,25,17,18
19,19,11,15
17,16,9,9
18,18,10,10
17,17,9,9
19,17,11,10
17,19,13,11
17,17,9,9
17,17,9,9
18,19,10,10
19,19,13,10
27,26,19,20
19,19,13,10
18,18,10,10
17,16,10,10
17,17,10,10
18,19,11,11
17,16,10,10
16,15,9,9
17,17,10,10
18,18,13,12
17,17,12,11
20,20,16,16
18,23,19,17
21,19,19,17
17,17,10,10
15,16,10,10
17,17,10,10
15,16,10,10
17,16,10,10
18,18,10,10
16,14,10,10
16,16,10,10
20,16,11,11
18,18,10,10
18,16,10,10
17,16,10,10
17,16,9,9
17,18,10,11
18,19,11,11
18,19,9,11
19,19,10,10
18,18,10,10
17,20,10,11
18,17,11,12
18,17,10,10
19,17,11,11
16,14,10,9
17,17,9,9
16,20,12,11
17,18,12,10
18,18,10,10
18,17,10,9
18,16,10,10
17,19,10,11
20,17,11,10
17,16,9,9
18,18,10,10
17,17,9,9
18,19,11,10
17,16,11,10
19,18,10,10
19,17,11,11
17,16,9,9
18,16,10,10
20,21,14,13
18,18,10,11
18,18,10,10
18,16,10,10
17,19,11,11
16,18,12,12
27,26,19,20
23,24,18,18
17,17,12,10
19,19,11,10
24,25,19,16
22,19,15,15
18,18,10,10
17,17,9,9
17,18,10,10
16,17,10,11
19,18,11,11
18,18,10,10
27,28,21,20
21,19,15,15
17,18,10,10
18,24,19,15
23,23,19,14
22,21,17,16
21,19,15,15
18,24,19,15
23,23,19,14
22,21,17,16
21,19,15,15
28,28,22,21
18,24,19,15
28,28,21,20
23,23,19,14
22,21,17,16
