0,1,2,3
11,0,11,0
11,0,10,0
10,0,10,0
2,9,10,0
5,6,10,0
1,14,14,0
16,4,15,4
14,4,14,4
1,10,10,0
4,15,21,0
2,15,18,0
0,22,20,1
4,16,17,3
13,0,11,0
11,1,10,2
1,12,13,0
3,10,12,0
3,7,10,0
11,0,11,0
0,10,13,0
4,6,11,0
15,5,15,5
3,21,20,1
13,2,10,3
16,4,16,4
10,0,9,0
15,5,15,5
11,0,10,0
3,17,20,0
3,21,20,1
16,4,16,4
15,5,15,5
3,17,20,0
3,21,20,1
3,8,11,0
11,0,10,0
10,0,10,0
9,0,9,0
4,7,10,0
0,10,10,0
12,13,11,13
6,19,21,3
4,18,20,3
1,10,10,0
11,0,10,0
15,4,16,4
10,0,10,0
4,6,10,0
1,10,10,0
3,6,12,0
15,6,16,5
16,6,16,5
2,18,19,1
1,21,20,3
4,6,11,0
10,0,10,0
0,23,20,0
3,17,19,2
1,17,15,3
2,7,10,0
3,17,19,2
1,17,15,3
10,0,10,0
10,0,9,0
0,11,10,0
2,8,10,0
11,0,11,0
1,10,10,0
11,0,11,0
3,15,18,0
3,8,11,0
10,0,9,0
0,11,12,0
17,5,17,5
16,5,17,5
5,20,24,1
4,17,19,2
11,0,11,0
17,6,16,6
11,0,11,1
0,11,11,0
3,9,13,0
11,0,10,0
9,0,9,0
15,3,15,3
15,3,11,2
3,16,18,0
2,16,17,0
15,4,15,4
19,8,17,7
14,3,13,3
4,16,18,1
1,19,19,0
11,0,10,0
11,0,10,0
11,0,11,0
10,0,9,0
2,15,16,0
1,12,13,0
15,5,15,5
