0,1,2,3
0,11,10,13
0,10,15,11
0,13,16,11
0,11,9,12
0,10,6,12
0,11,14,9
0,14,10,10
0,11,10,12
0,11,10,12
0,10,7,13
0,11,10,11
3,16,11,11
5,14,6,13
0,20,17,4
0,11,5,13
0,10,8,13
3,15,6,7
14,5,14,0
0,15,6,10
3,13,5,10
0,13,9,8
0,20,8,9
0,11,5,10
0,10,8,13
0,12,5,10
2,16,7,10
0,19,15,3
0,11,10,12
0,9,3,10
4,16,6,10
0,15,16,1
0,19,16,2
0,12,5,10
0,21,16,2
2,16,4,11
0,15,16,1
0,13,14,2
0,11,9,12
0,20,15,5
3,16,8,11
0,10,4,10
2,14,6,10
0,19,17,2
0,19,15,3
0,16,7,14
0,18,15,5
3,16,5,11
4,15,7,8
0,20,14,2
2,16,8,12
2,19,18,0
3,16,6,11
0,11,10,11
0,11,4,11
0,11,4,13
0,11,10,12
4,15,7,8
0,20,15,1
2,19,18,0
2,15,7,10
3,17,6,12
0,21,14,3
1,14,5,10
0,16,13,6
0,18,11,6
0,11,8,13
0,11,7,15
0,10,6,13
0,10,4,10
0,10,8,13
0,11,14,8
0,12,10,9
0,11,10,12
0,24,18,9
0,10,8,13
0,11,10,11
4,17,6,10
0,11,16,9
0,10,8,13
7,10,7,7
4,11,7,7
0,10,8,10
0,13,11,4
0,12,9,16
13,0,10,0
2,16,7,10
0,14,13,0
0,11,10,12
0,13,11,9
0,10,8,13
0,11,10,11
0,10,8,13
0,20,14,4
3,20,16,14
0,11,9,6
4,19,16,12
0,22,17,8
2,16,7,11
0,12,7,14
3,20,16,14
