0,1,2,3
18,5,17,7
27,20,27,22
20,2,15,12
17,11,26,5
17,10,20,3
15,7,15,10
14,8,15,13
19,5,10,12
10,18,14,11
27,18,25,20
26,10,21,14
19,14,20,15
25,23,24,18
25,15,23,21
23,15,19,18
26,10,21,14
26,10,21,14
20,18,22,11
20,18,22,11
20,4,16,9
21,7,16,12
18,14,15,9
18,15,20,13
18,14,15,6
19,11,22,10
18,5,19,11
13,12,21,7
25,11,18,11
21,18,19,11
22,8,15,11
17,8,17,6
21,10,12,11
21,10,15,10
19,0,15,5
23,8,10,13
21,16,14,11
19,18,12,12
15,7,16,11
20,9,15,12
15,7,16,11
20,18,16,9
20,18,16,9
22,8,15,11
15,6,16,12
27,20,27,24
17,11,16,9
22,12,17,5
21,9,15,11
14,8,16,8
19,0,15,7
18,10,18,9
18,14,17,13
19,0,15,7
18,14,17,13
21,9,15,11
29,14,22,25
16,5,18,11
17,9,16,4
20,2,17,7
22,9,14,11
15,6,20,12
17,12,16,8
19,7,16,11
18,13,16,6
20,5,18,11
22,5,13,2
19,21,22,16
20,7,14,7
17,14,13,9
21,8,19,12
21,12,14,12
20,10,23,4
18,10,18,8
30,15,25,19
21,13,17,17
27,15,29,19
22,24,24,16
17,7,15,14
19,19,22,13
20,10,19,12
20,7,14,11
19,7,13,14
29,19,27,17
23,17,24,16
23,22,23,9
21,17,21,11
27,20,27,22
20,3,20,10
20,9,11,7
14,7,18,10
21,12,17,7
19,11,16,5
26,15,20,14
23,13,21,17
18,22,26,10
18,22,25,9
26,15,20,14
23,13,21,17
22,19,26,21
19,19,15,12
