0,1,2,3
11,0,14,2
10,0,15,6
11,0,16,6
11,0,15,6
11,0,15,6
9,0,15,6
6,8,15,6
4,7,13,6
12,0,18,6
11,0,17,6
5,7,19,6
10,0,15,5
11,0,14,4
5,7,16,6
11,0,17,7
10,0,16,5
5,6,15,7
6,7,16,5
10,0,15,3
10,0,14,4
1,12,13,4
1,10,12,4
21,0,21,11
18,0,19,9
21,0,22,15
18,3,22,11
18,4,21,12
11,0,17,5
11,0,16,6
9,7,17,6
5,6,15,7
18,0,19,9
18,0,19,9
7,11,21,11
18,0,16,12
5,10,19,9
11,0,15,10
18,0,19,12
7,5,17,7
5,11,20,11
18,1,18,12
15,0,12,10
5,14,19,12
2,15,18,11
11,0,16,7
15,0,18,11
10,0,15,5
11,0,17,7
10,0,16,5
10,0,14,4
9,0,14,4
10,0,14,4
9,0,14,4
10,0,14,4
9,0,13,3
3,9,14,4
12,10,21,8
1,9,13,4
9,0,11,6
8,0,11,6
9,0,14,5
10,0,15,5
10,0,15,5
10,0,14,5
12,0,16,5
11,0,14,5
10,0,14,4
6,10,19,11
10,0,13,4
5,7,16,4
3,8,13,4
21,1,21,13
21,0,21,12
13,8,22,14
14,7,25,12
11,0,16,5
10,0,14,4
11,0,15,5
21,1,20,15
10,0,14,4
22,1,22,13
21,0,21,12
19,2,23,14
9,11,21,13
10,0,16,5
10,0,15,5
9,7,16,6
6,4,14,6
19,0,20,11
11,0,16,5
20,2,21,15
16,4,23,12
17,7,23,15
11,0,16,5
9,0,15,7
11,0,16,4
10,0,14,6
11,0,14,2
10,0,14,2
3,9,14,2
