0,1,2,3
16,15,22,15
23,22,23,19
21,22,24,21
19,25,27,26
21,19,27,21
23,22,22,18
22,21,20,14
19,23,21,19
21,23,23,14
26,25,32,27
23,22,28,23
23,23,28,23
20,22,26,23
26,21,29,27
18,19,19,19
14,16,18,17
20,22,25,17
15,14,25,17
27,24,28,24
25,25,27,22
26,27,30,25
23,28,27,19
23,24,20,21
19,20,10,10
20,20,9,9
23,21,29,23
20,21,24,21
18,19,15,24
19,16,14,22
18,16,11,10
14,17,10,11
15,21,10,12
13,17,16,13
19,17,18,16
20,24,20,23
19,17,18,16
20,21,24,21
21,21,23,17
21,29,28,23
20,24,20,23
19,17,18,16
20,21,24,21
21,21,23,17
25,22,14,15
17,17,25,19
22,22,11,12
19,23,15,12
22,20,27,23
21,22,25,25
23,21,30,25
21,21,27,22
22,15,30,23
21,19,21,20
20,18,23,22
18,22,27,18
24,24,29,27
18,17,25,20
17,16,22,19
15,14,21,18
22,23,22,19
18,21,19,17
20,24,20,23
23,23,21,22
19,17,18,16
20,21,24,21
21,21,23,17
27,23,31,24
20,24,20,23
19,17,18,16
20,21,24,21
17,23,21,16
20,24,20,23
19,17,18,16
20,21,24,21
19,21,20,17
17,23,21,16
20,21,24,22
19,24,27,26
18,21,22,19
22,22,26,22
20,21,22,16
22,20,21,24
20,17,23,20
18,18,21,16
20,19,20,20
18,18,25,18
22,26,22,20
24,25,31,26
20,23,28,22
22,21,28,26
20,24,26,21
17,22,29,19
24,22,20,20
24,22,18,14
21,22,21,19
19,23,18,14
21,16,17,12
14,17,21,16
24,23,23,23
19,25,28,21
