0,1,2,3
18,11,12,18
19,11,11,19
18,11,11,18
22,12,15,21
20,12,11,21
26,18,16,19
24,16,17,22
27,20,18,23
23,18,16,19
25,17,16,19
20,14,15,17
20,11,12,21
18,10,10,17
25,20,19,21
27,23,16,20
24,17,17,18
22,21,17,16
21,12,12,18
19,17,15,14
23,20,18,19
13,19,13,18
29,19,18,25
26,14,17,20
18,10,12,13
26,17,16,21
21,16,14,20
20,11,11,20
20,10,11,17
19,12,11,18
16,13,13,18
18,11,11,21
19,11,11,17
21,11,12,16
17,11,20,11
19,11,10,21
17,10,20,12
22,23,19,19
25,21,19,16
29,23,19,17
25,18,18,18
19,11,10,21
18,10,10,17
20,11,12,21
19,10,12,15
20,10,9,21
20,11,12,21
19,10,12,20
18,12,11,20
17,11,15,12
30,11,13,27
20,11,12,20
24,11,10,24
21,10,10,20
21,10,11,19
18,10,11,15
25,21,20,19
18,10,10,17
27,21,17,18
20,13,17,17
22,20,16,19
21,11,11,16
19,11,11,17
20,12,13,20
17,11,11,18
25,16,17,19
23,15,17,18
20,20,17,17
20,11,12,21
21,22,17,17
26,13,12,26
24,16,14,20
25,14,13,21
19,13,12,17
25,17,15,19
29,16,16,20
20,15,13,17
21,15,13,16
16,14,10,13
18,10,12,13
26,11,11,20
20,11,10,17
22,11,11,20
18,11,10,19
18,11,10,16
16,11,9,14
15,12,11,17
16,12,10,15
15,12,10,16
15,10,10,14
20,11,10,19
19,16,12,15
13,13,11,13
22,10,9,16
25,10,9,21
17,12,11,14
25,12,10,17
21,10,10,18
17,10,10,16
21,13,11,20
16,11,10,17
