0,1,2,3
13,13,13,13
15,16,17,13
12,18,17,13
18,18,17,17
20,17,16,16
15,19,18,14
15,19,18,14
17,17,16,17
16,17,16,18
17,20,21,14
16,19,19,15
14,16,17,14
15,18,19,18
15,16,15,16
16,14,13,14
14,18,22,11
12,16,17,10
15,15,15,15
15,15,15,16
15,16,18,14
14,16,18,14
19,18,18,17
16,15,16,15
15,15,17,16
19,17,18,18
14,19,19,13
15,14,15,14
19,18,18,16
12,19,19,14
19,19,20,15
13,12,13,12
16,13,16,13
10,18,16,10
14,17,17,12
20,17,19,17
17,16,16,16
17,16,17,16
18,19,19,13
15,18,17,14
19,18,18,17
15,16,15,16
20,19,19,17
16,14,18,15
16,17,18,17
15,15,15,15
18,18,17,15
16,17,17,16
12,19,18,14
22,21,23,21
16,16,17,16
16,19,18,17
14,20,20,14
20,20,20,18
16,17,17,16
18,20,20,15
14,17,18,13
17,18,18,18
14,15,16,14
16,18,17,17
15,19,19,16
16,18,17,13
18,17,19,15
17,15,16,16
16,19,18,14
17,18,18,18
15,17,18,15
16,16,15,14
16,17,18,18
14,19,20,15
17,19,20,16
15,14,16,14
16,14,14,14
14,18,20,11
11,17,17,11
17,20,20,20
18,16,17,16
16,18,18,18
16,20,21,14
14,20,19,15
18,18,16,19
15,17,17,15
17,19,19,16
15,18,18,15
19,17,17,17
14,13,14,15
18,16,17,15
13,14,16,12
12,12,12,12
13,12,12,14
17,17,18,17
13,14,13,13
12,14,13,14
14,14,16,14
13,14,14,14
15,16,15,13
14,13,14,13
17,17,16,17
17,17,16,17
17,20,21,14
14,19,19,13
