0,1,2,3
16,14,15,3
23,28,13,0
20,27,13,0
17,18,16,2
18,17,17,3
14,21,17,2
13,20,17,5
19,19,18,4
18,16,17,4
18,19,18,4
15,21,17,4
15,21,17,4
19,20,19,0
19,19,18,4
18,16,17,4
18,19,18,4
15,21,17,4
16,14,18,5
17,13,20,3
20,17,25,6
18,20,22,9
17,19,26,5
16,19,24,9
15,18,17,5
20,17,23,5
17,16,22,5
20,15,24,5
21,17,25,5
13,22,23,5
17,22,24,4
18,16,21,2
17,16,19,0
14,21,22,2
11,22,20,1
18,16,17,4
20,17,24,4
18,16,19,5
17,19,24,6
17,17,21,6
18,16,17,4
17,18,17,5
13,22,16,5
16,20,18,5
19,18,18,2
17,19,16,1
17,21,22,5
13,22,18,3
15,25,16,1
18,15,17,2
16,20,15,0
12,19,16,3
13,22,15,1
23,22,23,8
23,18,27,7
18,16,17,4
15,21,17,4
16,14,15,4
15,18,17,5
20,24,12,0
24,17,11,0
18,18,10,0
20,19,11,1
17,25,11,0
16,21,13,1
16,14,15,1
16,17,15,2
12,19,15,1
15,20,17,4
14,21,15,1
21,17,26,3
20,17,24,4
18,20,25,4
19,19,25,3
18,16,16,2
16,15,15,2
16,22,18,3
14,22,15,2
19,18,23,3
16,18,16,5
19,16,22,2
23,21,19,0
21,20,13,0
17,26,20,0
14,24,14,0
17,16,16,4
16,15,16,4
17,20,16,3
15,15,16,4
16,16,15,4
18,16,17,4
15,14,15,3
16,17,16,5
13,15,16,5
15,12,14,3
14,12,14,3
14,18,16,5
10,16,14,4
18,16,17,4
16,14,15,3
16,17,16,5
