0,1,2,3
17,15,15,23
16,15,15,19
19,17,17,19
15,17,15,21
14,14,11,15
17,17,13,15
11,18,13,12
17,15,13,20
18,15,14,21
15,17,17,16
17,17,13,18
14,17,19,11
18,16,16,18
14,14,9,14
15,16,10,14
13,16,15,10
13,17,17,7
17,14,16,20
13,14,16,22
20,13,15,20
17,18,16,23
17,16,16,19
16,17,14,21
14,17,17,11
14,18,18,12
14,18,16,17
16,14,12,17
15,13,10,18
13,14,14,12
16,15,15,15
15,14,11,15
14,11,10,13
14,14,11,14
13,12,10,15
19,15,15,23
12,12,9,13
12,12,8,13
11,15,16,10
12,17,15,8
14,12,11,15
15,12,9,13
13,13,9,13
11,14,9,16
14,14,10,16
14,14,10,16
15,19,20,19
12,16,11,14
14,15,11,16
15,13,10,16
13,13,9,14
15,16,16,9
12,16,16,8
16,15,12,20
16,15,9,20
16,16,19,15
15,18,17,11
19,14,14,20
15,14,11,18
14,14,10,15
12,16,15,12
13,13,11,13
18,16,12,22
17,16,12,19
15,17,18,13
15,15,14,21
15,16,14,17
16,16,18,14
14,17,16,20
14,16,15,15
17,14,11,20
17,15,12,19
16,17,15,16
14,16,13,18
19,17,14,21
16,15,10,22
17,15,16,20
15,15,12,15
21,18,17,22
17,16,20,25
16,15,15,19
19,17,17,19
15,17,15,21
21,18,17,22
16,15,15,19
19,17,17,19
15,17,15,21
19,14,10,18
15,13,10,18
14,18,19,11
15,15,15,24
13,16,16,13
19,17,20,23
17,18,21,19
17,17,23,19
15,15,14,22
19,18,17,21
17,17,18,20
17,20,21,16
14,13,13,16
11,17,17,11
