0,1,2,3
16,12,16,17
29,18,12,16
29,17,10,14
23,23,13,14
23,25,11,14
18,18,21,17
17,22,22,16
16,21,21,17
22,15,25,18
19,15,24,18
17,21,25,17
22,21,13,13
23,23,10,15
16,21,23,18
23,15,28,17
23,15,29,19
15,24,23,18
16,22,25,18
24,16,18,14
19,15,17,13
16,24,19,14
11,25,16,13
21,17,25,16
29,17,10,14
20,16,22,14
17,20,23,18
17,20,19,15
29,17,10,14
19,16,19,16
19,25,10,16
14,23,17,13
28,22,11,14
25,21,10,11
21,26,12,12
26,17,9,14
21,25,10,13
24,15,11,11
21,16,10,13
16,23,11,11
17,22,10,11
28,20,23,18
28,15,22,23
29,21,22,21
29,20,20,18
22,29,20,17
23,20,13,13
22,26,21,15
28,17,11,15
26,17,9,13
21,26,11,14
23,20,13,13
16,18,9,14
16,15,9,13
14,21,13,13
18,21,11,11
19,23,16,12
21,25,11,14
17,17,14,8
17,28,18,5
13,23,18,3
18,18,14,9
16,18,10,11
14,25,11,10
18,23,13,8
23,13,12,11
23,14,10,11
17,21,12,8
22,21,13,13
18,21,15,7
24,15,30,13
22,15,27,20
18,21,26,17
18,19,24,16
19,16,17,16
17,14,16,11
16,23,18,14
12,22,15,13
24,18,17,14
23,15,10,12
20,18,16,13
19,28,17,14
14,23,16,14
33,8,24,15
29,8,20,13
14,20,16,18
16,21,17,21
25,16,20,13
18,14,19,17
18,18,17,14
22,15,9,10
18,14,17,14
23,25,10,12
15,18,16,15
17,13,16,12
16,13,16,13
22,19,10,10
20,18,10,11
20,14,9,10
14,14,14,11
18,23,13,9
