0,1,2,3
15,3,10,0
17,5,11,0
26,17,17,6
26,15,18,6
26,17,21,1
26,16,24,2
19,8,10,0
17,9,9,0
18,8,11,0
24,13,11,2
25,13,14,3
18,9,11,0
18,6,10,0
16,6,9,0
18,7,10,0
16,7,13,0
26,13,15,4
26,14,17,5
27,12,20,0
25,14,20,1
16,11,15,7
13,24,15,0
18,12,14,5
19,10,14,0
16,11,19,0
8,17,0,10
17,7,9,0
19,7,10,0
18,7,11,0
20,11,11,1
20,10,11,2
24,10,16,0
14,25,18,0
21,10,16,0
8,17,0,10
18,7,9,0
18,7,11,0
17,8,11,0
19,7,11,0
19,7,10,0
20,7,12,0
19,7,10,0
19,7,11,0
24,22,18,9
19,7,10,0
20,7,12,0
19,7,10,0
22,10,11,2
22,10,11,2
13,21,14,0
14,23,19,0
28,15,16,5
25,15,14,5
28,16,20,1
23,13,16,5
23,15,18,2
23,12,15,4
27,14,20,0
24,13,19,0
26,14,16,5
26,16,17,6
23,16,20,0
22,18,21,0
21,10,15,3
19,9,16,4
23,16,16,6
15,20,22,0
17,14,18,0
24,13,15,4
24,12,13,3
25,14,19,0
22,12,17,0
19,7,10,0
19,7,10,0
18,8,11,0
20,8,13,0
25,14,19,2
19,7,10,0
19,8,10,0
19,7,12,0
19,8,10,0
17,6,11,0
7,17,0,10
17,7,12,0
15,9,10,0
31,22,19,9
31,22,14,16
24,13,21,2
23,26,22,4
23,25,21,4
8,17,0,10
17,7,9,0
19,7,10,0
18,7,11,0
17,8,9,0
16,9,9,0
18,9,11,0
19,8,9,0
8,17,0,10
19,8,11,0
