0,1,2,3
9,9,13,13
13,13,18,17
11,11,19,11
17,16,15,15
15,14,14,14
18,18,27,9
18,17,20,9
12,12,17,22
15,18,16,22
15,12,22,12
15,12,21,16
12,12,17,17
19,14,15,19
13,11,18,12
23,18,12,20
15,15,15,16
20,13,22,13
17,14,20,10
11,11,16,15
11,11,15,14
12,10,19,14
11,11,17,13
13,15,24,14
9,10,14,14
9,10,12,14
11,12,15,12
11,11,16,16
9,10,15,11
10,10,14,14
9,10,12,13
11,11,17,10
10,11,16,11
9,10,14,13
13,12,18,13
8,9,13,12
9,10,15,12
10,9,14,10
10,11,16,14
10,10,14,13
10,10,13,15
10,12,17,12
11,10,15,13
10,10,14,14
10,10,14,12
11,11,19,12
12,11,19,10
11,10,17,11
21,19,16,15
21,19,16,16
22,18,21,11
11,11,17,13
19,20,19,10
11,11,14,15
9,10,15,13
12,11,17,13
11,11,17,17
12,11,17,12
20,18,15,18
22,17,15,17
20,19,20,15
21,16,21,13
10,11,14,14
13,12,17,15
10,10,14,14
11,11,20,11
11,10,19,12
10,10,16,16
19,18,16,16
19,17,16,16
11,11,14,15
10,9,17,14
11,12,16,14
10,11,17,12
11,11,13,12
12,11,17,14
10,10,13,11
11,12,20,6
11,11,21,13
13,14,20,9
11,11,14,15
10,10,14,13
11,11,17,12
13,12,18,13
11,11,14,15
10,10,14,13
11,11,17,12
11,11,16,16
13,12,18,13
10,10,17,13
11,11,18,16
10,10,16,13
11,11,19,12
11,13,18,10
11,11,12,12
10,11,12,12
12,12,18,7
11,12,20,6
19,18,16,19
10,10,14,13
11,11,16,16
