0,1,2,3
12,11,11,7
20,18,10,10
24,19,13,8
20,18,15,4
22,16,14,4
15,10,7,6
10,11,10,5
10,13,11,1
8,18,13,1
11,13,14,6
23,19,14,6
11,14,22,3
11,12,13,11
12,9,9,8
11,15,22,3
11,13,14,6
13,15,11,16
12,11,13,12
12,17,28,3
11,15,24,1
14,12,12,10
10,11,9,10
11,13,15,5
12,12,13,11
11,14,18,4
11,15,16,4
12,11,11,10
11,12,11,12
10,12,18,4
11,15,21,3
12,11,11,10
11,12,11,12
10,12,18,4
18,15,11,11
12,12,12,11
13,14,11,12
17,19,19,5
16,18,14,4
17,14,12,10
20,20,21,0
17,20,21,0
20,19,10,11
24,20,11,7
19,20,19,1
20,21,17,1
12,13,23,5
15,18,12,8
12,12,11,6
19,17,21,0
21,15,21,0
15,18,11,10
14,14,11,11
16,18,18,4
15,15,15,5
11,12,13,12
15,12,10,10
10,16,20,5
11,14,23,1
10,12,22,1
11,12,11,10
11,11,10,9
12,11,22,0
12,14,25,0
13,12,10,10
11,11,10,9
13,11,21,0
12,18,21,0
11,12,13,11
23,21,10,7
24,20,12,5
22,18,10,9
23,20,13,3
22,18,15,3
11,12,13,11
12,9,9,8
11,15,22,3
11,13,14,6
10,13,12,9
12,9,9,8
12,10,13,10
10,16,21,0
10,12,19,1
12,13,18,13
11,11,12,9
12,17,29,1
11,12,23,0
11,11,14,11
11,13,17,9
11,18,27,1
11,15,22,3
10,11,21,1
12,12,10,10
11,11,9,8
10,12,26,1
10,17,20,1
20,18,8,12
24,19,13,8
21,18,16,5
22,20,16,5
11,14,12,11
