0,1,2,3
23,18,16,15
20,19,19,16
20,19,17,17
21,15,13,13
20,23,30,10
18,18,15,13
19,20,14,15
18,16,13,12
20,19,17,16
21,13,14,12
23,17,18,17
21,23,18,19
20,18,17,17
26,19,17,19
23,18,19,17
22,17,15,14
22,21,17,18
18,19,15,13
18,26,24,13
23,16,24,8
30,25,20,19
20,23,15,17
21,20,19,19
33,18,33,10
26,19,28,6
23,17,18,19
22,21,19,19
23,18,18,20
15,22,15,18
23,21,19,18
18,22,18,17
19,26,16,21
33,28,29,9
22,20,19,19
26,26,29,8
23,20,17,17
19,18,16,15
22,21,28,13
22,22,20,17
21,17,16,15
21,27,20,20
24,18,17,19
23,16,17,15
24,15,15,17
22,22,20,18
18,16,13,15
24,17,31,7
21,16,24,5
21,20,19,19
20,19,17,17
25,24,17,20
25,24,17,20
21,18,18,18
21,20,19,19
20,19,17,17
22,20,19,19
25,24,17,20
21,18,18,18
20,24,21,19
19,21,18,20
23,20,29,11
20,20,24,17
20,19,19,16
15,22,16,14
17,24,14,10
25,15,30,3
24,23,18,20
21,17,22,0
25,21,19,19
14,27,21,21
21,22,29,12
23,19,18,18
24,17,14,16
19,22,23,13
26,19,17,19
22,22,28,6
22,17,16,16
22,20,19,19
21,16,13,14
23,15,26,8
24,12,22,7
20,12,16,15
24,11,13,12
20,16,30,6
15,21,21,3
23,14,8,12
23,17,18,19
21,16,16,12
22,22,20,18
21,26,16,8
21,20,19,19
20,19,17,17
25,24,17,20
21,18,18,18
21,20,19,19
20,19,17,17
25,24,17,20
21,18,18,18
23,26,22,23
22,20,19,19
