0,1,2,3
9,12,10,12
14,17,19,17
11,17,18,11
9,15,14,14
11,13,11,15
15,14,17,12
10,13,12,12
11,12,19,14
11,13,11,15
15,14,17,12
10,13,12,12
11,10,16,9
22,24,24,26
16,14,18,18
15,14,14,14
13,19,16,15
13,18,16,15
16,23,19,17
14,19,19,14
21,22,21,22
23,23,23,22
15,27,22,17
14,24,23,17
14,13,17,12
15,15,15,18
12,9,15,15
9,18,21,14
1,24,19,13
20,19,20,18
17,16,16,13
18,16,16,14
13,14,18,18
14,13,17,15
14,13,16,15
12,11,15,12
8,15,19,13
12,12,15,11
11,13,12,15
13,12,15,13
12,14,13,12
9,18,18,10
12,11,13,11
12,11,14,11
9,19,15,14
11,27,22,19
11,10,16,9
22,20,23,24
26,17,24,25
17,22,16,20
15,22,23,19
14,13,17,12
12,11,15,12
11,13,19,14
11,10,16,9
12,16,14,14
11,16,18,12
11,13,19,14
8,14,15,12
7,14,16,13
15,20,15,14
14,13,12,11
11,5,7,11
9,16,12,13
10,16,18,15
14,14,11,18
8,17,15,10
10,15,14,13
14,14,17,12
13,10,14,12
14,14,16,15
9,11,19,11
9,14,12,12
23,22,20,22
27,22,22,23
20,22,18,20
22,24,24,20
12,12,13,14
11,12,14,11
12,10,15,12
8,15,12,10
9,14,17,13
16,18,19,16
19,13,13,15
15,20,24,12
10,21,17,14
19,13,20,18
16,10,13,14
10,17,21,13
9,16,15,14
11,13,19,13
16,19,21,16
16,13,19,15
9,19,19,11
13,13,13,14
11,8,12,11
12,15,14,15
9,13,15,11
13,11,16,15
11,10,15,10
10,19,19,12
