0,1,2,3
12,11,11,0
14,11,11,0
15,12,19,0
13,19,15,7
13,16,16,6
16,20,23,0
13,16,22,0
10,12,13,5
8,10,18,4
11,18,17,4
12,14,11,0
18,17,15,0
13,12,16,4
12,14,1,10
14,11,10,0
14,12,10,0
18,10,11,0
10,14,9,0
10,10,9,0
16,14,9,0
13,9,10,0
13,11,9,0
18,19,14,4
15,12,20,0
12,13,5,19
12,11,9,0
14,11,11,0
13,9,10,0
10,13,0,8
9,13,1,8
12,11,10,0
12,13,8,0
14,12,0,9
17,18,10,1
13,12,0,9
12,10,10,0
11,14,11,0
12,12,10,0
13,12,10,0
10,14,10,0
14,14,10,0
13,10,10,0
22,18,10,13
23,19,15,6
16,16,10,0
27,18,21,0
21,15,23,0
12,14,1,10
12,14,9,0
14,15,9,0
17,14,10,0
20,22,18,5
24,19,8,15
21,20,26,0
23,19,24,2
16,16,12,0
14,11,10,0
18,16,9,0
14,10,10,0
13,12,9,0
12,12,12,0
12,14,9,0
13,12,11,0
12,12,11,0
13,16,10,0
12,14,9,0
15,15,10,0
13,12,11,0
12,12,11,0
14,14,10,1
13,10,9,3
15,7,12,0
12,14,11,0
14,15,14,0
11,11,11,0
12,8,10,0
15,11,11,0
12,12,11,0
14,9,11,0
19,23,4,14
19,26,17,7
24,17,16,2
22,22,23,0
15,17,18,10
11,12,11,1
21,23,17,7
22,20,20,3
20,17,18,2
12,14,10,0
12,11,11,0
15,13,10,0
20,9,11,0
14,0,11,0
12,12,11,0
17,15,10,0
16,11,11,0
12,12,9,0
16,12,12,0
15,16,11,9
14,11,14,0
