0,1,2,3
7,10,14,3
14,16,17,12
11,15,15,13
11,20,22,11
12,18,22,10
10,18,17,8
10,17,21,7
8,13,15,7
5,22,20,6
6,16,19,6
13,22,22,9
14,14,17,12
13,22,24,12
11,17,21,8
11,16,15,10
9,21,22,6
8,23,22,5
9,19,20,7
9,16,20,7
6,22,23,4
7,18,22,5
7,19,17,8
9,18,21,7
10,19,18,12
6,19,18,7
5,22,20,6
7,19,17,8
9,18,21,7
6,19,18,7
13,18,19,12
8,18,25,21
15,19,25,12
13,17,20,11
9,28,30,7
13,22,25,12
8,19,19,9
13,17,18,13
17,15,24,15
6,26,28,11
10,26,26,16
12,20,20,9
9,16,15,10
7,21,21,5
6,23,24,6
12,18,18,14
10,17,21,7
11,16,16,10
10,23,22,11
12,24,19,12
10,17,19,7
9,15,18,7
4,27,27,5
4,23,21,5
8,16,20,7
9,20,21,9
3,23,19,4
8,13,15,7
5,23,25,5
7,16,18,6
8,15,18,8
2,23,19,3
4,26,27,4
15,21,24,16
11,22,22,12
10,24,24,14
10,17,21,7
8,13,15,7
5,22,20,6
5,22,20,6
6,16,19,6
7,15,16,7
7,18,19,7
3,17,18,2
5,20,17,4
9,23,27,7
8,18,20,6
4,24,30,4
3,20,19,4
6,16,19,6
7,20,19,9
9,17,20,6
5,26,25,4
4,20,19,3
8,17,16,6
8,15,16,6
5,24,26,4
5,24,19,3
16,17,21,14
17,14,21,13
8,13,15,7
14,24,24,12
12,16,18,12
8,15,17,7
8,19,21,5
5,28,29,4
5,24,25,2
11,14,17,8
8,17,19,9
8,20,23,7
8,24,28,6
